"","ResponseId","desc_inapp"
"86","R_3kwikRzB8TRK10u","when someone unintentionally did something wrong to you"
"87","R_2vjgzCJAB9ccEsd","Every reason I could think of is wrong to hold a grudge. I think it's important to communicate and heal from things that would normally lead to holding grudges."
"88","R_3kyXYxE0i4w405g","I think it is wrong to hold a grudge if people have apologized and. accepted the apology."
"89","R_2UVkhmgTyBooDRF","If a person is well-intentioned but makes mistakes."
"90","R_1jAIlPp4Q8cE8nu","it is always wrong to hold a grudge"
"91","R_2rwQHdmxVf6Sf5R","When you ask a coworker for help and they say they can't. Then you find out they have lots of work to do in a short timeframe."
"92","R_1n9owyP8nZWjyLB","When they have apologized."
"93","R_2X1owfJWITPS0n5","possibly where the person accidentally wronged you, such as having to make a tough choice which negatively affected you"
"94","R_vo83d7TXVPNlEFr","It may be wrong to hold a grudge for something trivial, such as someone cutting in line in front of you."
"95","R_0D3JMkDDVMlJdDz","When someone apologized for what they've done."
"96","R_0xgItDlLxRIfO13","Holding a grudge from something that happened years ago like being very angry at an ex-lover.  For example, an ex-boyfriend asking her best friend out on a date years later, even though the couple broke up in high school."
"97","R_1l4xNJstWUUxOSc","If someone disliked something you wore"
"98","R_2X4czbSW8HQfF0a","when you know that person is truly sorry for what they have done and it was not intentional.  Also if you have chose to forgive someone for their actions, you should not hold a grudge because you made the choice to forgive."
"99","R_2s78T5vbUAUS7bJ","I think it’s wrong to hold a grudge over insignificant issues."
"100","R_qyoC4rFd0nGeJ7X","Any accidental circumstance."
"101","R_3PDayYBMnGw0ovf","When you can forgive them or they can reverse what they've done."
"102","R_9AMndad6ndjSbYt","i don't know"
"103","R_2ctPfLj4zErxwvE","when someone doesnt do something they promised"
"104","R_2s5Dhn33M0LDLf4","when you dont let go things that are way in the past and neither you or the other part had a way of doing things differently"
"105","R_1cTeh9Pg4APU5ih","I believe it is wrong to hold grudges because they do not benefit either party."
"106","R_2CHQR113g10jHxE","I think it is wrong to hold a grudge if someone hurts you in a way that is tame and accidental."
"107","R_33ex5n0jtfdabsc","when the circumstances were out of the control of the person who I am holding a grudge against."
"108","R_10UkNUADPAmdK89","when the focus of your grudge has sought forgiveness from you and attempted to find common ground or peace"
"109","R_3D0x0O2FcimxqJM","Calling someone over to help you out and they just end up causing a mess of things that you did not want things to end up."
"110","R_1poMmvzq1ah7QIN","Its wrong to hold a grudge against someone who is more successful than you are."
"111","R_yUgCjtW4T5MMkXT","It is wrong to hold a grudge when both parties are in the wrong."
"112","R_RV0skRMGfnemr85","A friend forgot to wish you a happy birthday."
"113","R_b1kND646ih9URTr","If someone cuts you off in traffic."
"114","R_r9nxMJLKbz7F1ol","Holding a grudge is often over really stupid things. Like, 'someone took the last doughnut, even when I had my name on the box.' or reading emotions into a text conversation that was completely misinterpreted. I hear of my friends doing this sometimes and it is just sad how they are so willing to terminate a relationship based on so little."
"115","R_1C8Eza1KY8cwfwE","like i said in my pervious response. i feel it is always wrong to hold a grudge. life is too short to waste time like that. positivity and forgiveness lead to much better feelings for yourself."
"116","R_3Ms6QgXBrOTs126","When it wasn't so bad and the person apologized"
"117","R_3FLpwoDG87OThfQ","In situations that were not in anyone's control. When you choose to blame someone out of convenience but it was really not anyone's fault."
"118","R_sLTmFYJeU5lYKop","It is wrong to hold a grudge against someone for something outside of their control. For example, if someone missed an event such as a birthday or date because of a family emergency. That would not be something to hold a grudge against."
"119","R_2s6lkljRBiW4IuO","Petty disagreements are mishaps."
"120","R_2xDCIlPiNAMc0fJ","I think it is always wrong to hold a grudge. It is healthier for everyone if grudges can be released - it is bad for a person to be holding that much stress and anger within themselves!"
"121","R_3Gy7bsE3MfWpM2E","When someone makes an honest mistake"
"122","R_3hGByoAjJD6NGag","when someone didnt mean to say something bad about someone it just slipped ppl make mistakes"
"123","R_3scfVyCZiJbQzfS","I think it is wrong to hold a grudge in a situation where someone accidentally hurt you, especially if the person has apologized and tried to make it right."
"124","R_1gLQ5BI0W2SFHEM","A coworker left a station messy"
"125","R_2zUsnkbtKbTzL9I","I think it's always wrong to hold a grudge. Life is too short."
"126","R_cLJRsHcpk7XmG8V","IF SOMEONE WON A RACE, FAIR AND SQUARE"
"127","R_1mWdZIuTBmZsRZ8","If you don't know the full story or hear something from someone else that makes you hold a grudge, I don't think you have the right to hold a grudge in this situation, since you don't have the full firsthand story."
"128","R_OOl80PSAceNbs09","If someone was late to a party."
"129","R_2uVWf5trS5OxOXV","When someone doesn't do anything bad to you"
"130","R_1rxj0h64XfZmVcF","If someone is late for an event or forgets about something that is planned."
"131","R_2VPEUAi4ojm6WA1","It's always wrong to do it in my opinion."
"132","R_UiO16RPn9n7jHxf","When honest mistakes arise, over minor incidents with no lasting consequences"
"133","R_2EmJFDi8kRhsMWd","I think it is wrong to hold a grudge if the offender has sincerely apologized and/or changed his actions."
"134","R_1eVFmBHYCtENiVn","It's wrong actually wrong to hold grudges"
"135","R_bpzjQmhx19Jyxzj","When you are wronged by an individual, but it is not necessarily their fault nor was it their intention to wrong you."
"136","R_31j9PVH7xaNbl8L","If the person who wronged you apologized and is trying to do better."
"137","R_31sZDB1IuXZLQ4g","I don't ever think it is wrong but you should try to move past grudges"
"138","R_2vfdYxlxpm17VhY","I think it is wrong to hold a grudge against someone who made a small mistake. For example, I have seen lots of friendships end over small things that in the long run will not even matter."
"139","R_1UnFI7I64vJXRmN","If things were done unintentionally"
"140","R_3Jn6wTNo0G5Lzzt","It is wrong to hold a grudge if the person who has dealt an inappropriate action has asked for forgiveness."
"141","R_DTWmRlqYz7dBnTX","My sister holds a grudge on my brother who passed away back in 1995 and won't let it go. This is totally wrong in my book"
"142","R_2aV1J8OGsfrFeOx","When it benefits the person that is holding the grudge (if that makes sense). Some people hold grudges as a way to control another person, or manipulate their opinion."
"143","R_2V8gRqAIy7apStY","when it's like a kid or something"
"144","R_1jkelzL3Zjf3JeW","If the wrongdoing against a person could be put up to making a simple mistake"
"145","R_2OHMQYwEosyKjRD","if someone was just making a joke but you took it really too serious."
"146","R_b7rKNh9NRxQ0HZv","if something was an accident or done without intention"
"147","R_2pW7p6doLiVxKtD","I think it's wrong to hold a grudge when the grudge is over something big/significant. This should be talked out and discussed, not repressed."
"148","R_33fG909hY9cqu6A","I think blood feuds are plainly illogical, whether in a country that has such a practice, or in more common the Hatfield/McCoy sense."
"149","R_1HdWr790LTPfuPE","Petty circumstances. Small and unintentional situations, especially where the source of the grudge can be fixed. It would be unhealthy to hold a grudge for the sake of being angry."
"150","R_2YXqYFn3bBjkLu7","If you were the party at fault."
"151","R_1HqVK7RXoC2YKLt","You cut someone off in traffic and they honk, you're at fault and shoudlve been careful."
"152","R_XvP1abiP00gqvlL","When the other party has taken responsibility for a wrong or made an attempt to address it in good faith."
"153","R_3oB0YcE7szpf8EL","When I find it hard to forgive"
"154","R_1GHcpFfaVX5ZG9G","I think it's wrong to hold grudges in general, for the sake of the person who is holding onto anger. But I think it's especially wrong to hold a grudge on someone for doing the same things you do to others. i.e. getting angry with friends who never call, but you never call them either."
"155","R_24i3c53mE0qAdOJ","When you are in the wrong or upset about something too small to be mad at,"
"156","R_8HsX2UG45vl7SSd","It is wrong to hold a grudge to be petty after an argument."
"157","R_PFXNsF9G1FK9Cpj","I think it is wrong to hold a grudge over something that isn't too significant. For instance, if someone forgets that it is your birthday it is unreasonable to hold a grudge"
"158","R_2tDc4Pq1UJRNB4R","when the other person hurt you by accident and apologized"
"159","R_RQbKHJE8Xl5Sp5n","If someone has to make a decision that benefits themselves and were you in that position you would do the same. For example, someone breaking up with you for a personal reason."
"160","R_2EyoLXCRclUymUo","If someone did something that they didn't know affected you and when they found out that it did, they apologized or tried to make it right."
"161","R_25T1CU8Ylv559Nx","It's wrong to hold a grudge when the actions performed weren't too harmful"
"162","R_2tPEeS4SBorHEGd","I think it's wrong to hold a grudge if the toxicity of doing so is impacting you negatively or if the situation you're holding a grudge over is petty or not impactful in the long run. For example, if the grudge is making you feel bitter and brings you or others around you down and is over something small like forgetting a dinner date once, then it's probably not worth it."
"163","R_3fuxyoos7VbuxNa","if somone admits to a mistake"
"164","R_2cemHgQmIyUGS9M","When someone more deserving advance in career and taking your place."
"165","R_3COXiEJVCadQcsK","If someone did something by accident to you"
"166","R_PRmcBtsQLsP8jcd","If someone treats you badly, knows it and they do apologize."
"167","R_3MRqbluZQPpIPeH","For simple or little annoyances. One that I can recall from my childhood is when my mother was driving me around and she accidentally cut someone off and they began following us. We were able to lose them eventually but it was still a silly grudge to hold."
"168","R_2pS5qXIZLR1al8n","yard work"
"169","R_br9FLNl2dTgFEnD","If your romantic partner says you look in certain clothes."
"170","R_33dqnmaMAANNAN3","It's wrong to hold a grudge in any situation where there are serious implications. I asked someone out on a date a few months ago and after they said yes they canceled at the very last minute and ghosted me. I think it would be wrong to hold a grudge because I don't know what the other person is going through emotionally and personally and I don't want to just write them off as a bad person. It's wrong to hold a grudge when you don't know the whole story and better to be empathetic."
"171","R_1DSVHNvLsQizhKq","Almost every circumstances."
"172","R_2zI4Ellt83U8nZ8","Any petty circumstance, e.g., hearing bad gossip about yourself."
"173","R_32QJEim1AqNNdFY","It would be wrong to hold a grudge against someone due to a misunderstanding or because of a mistake made on your part that you blame the other person for."
"174","R_uxJRwvMF441mW4N","A friend who has accidently hurt you"
"175","R_2bMZBjVGNkrOACU","Basically you should never hold a grudge."
"176","R_1IuzdlVnNvWDBnj","If it is over something petty that really doesnt have a  severe outcome"
"177","R_03ya3PMwVL280lr","When someone does something very hurtful bit unknowingly."
"178","R_24uQDtWaj4EW9aX","When you lose to an opposing team because your goalie made a mistake and lost the game for your team."
"179","R_2zNEImDBFUCGY1w","If the issue did not really harm you, the other has apologized, and its time to move on."
"180","R_pLvgqIJinh9SpLH","If you are living with someone and they don't treat you right then its better to get out of the situation than hold a grudge as it will not serve you."
"181","R_ZaenGbIKBe1g8Cd","I think it is wrong to hold a grudge when a very small or petty thing occurs, like when someone gets angry at you or when someone is being stubborn."
"182","R_1rlaDwumNg4UsVN","When someone wrongs you and sincerely apologizes."
"183","R_2ONNHPaOWBYherz","I think it is wrong to hold a grudge against someone for something that they did not consciously do or over something that does not directly impact you. For example, it is inappropriate to hold a grudge against a neighbor because they have nicer things than you--may a boat, nice car, nice grill, etc."
"184","R_6X7Qt49aLPuDBjX","^See previous answer. It is almost always wrong to hold a grudge. It will only ruin yourself. There will be bad feelings of course, but over time it needs to be addressed and let go."
"185","R_1nZVLN2kzZHDObc","When someone tells a white lie."
"186","R_28IFxZTRVhEc5xa","I don't believe grudges should be held over accidents. An example would be accidentally tripping someone or accidental destruction of property, be it a phone or a lamp. That is not to say there should be no compensation, simply that a grudge should not be held."
"187","R_3J2bbUQ73B6gXcS","When I am wrong. When hiding onto a grudge becomes too stressful. Then it turns into just not caring."
"188","R_27rpwmEfIJPNdhj","When someone commits a crime and is truly remorseful or just makes a mistake and apologizes for it at a later time."
"189","R_3PJU8v7mRX9KRHP","if someone cuts in front of you while driving"
"190","R_1OPjH0aNKTAbJ9I","If the offender profusely apologizes and takes consistent visible steps to rectify the issue."
"191","R_bBIpNMQHGFZw4Qp","If you have been wronged by accident."
"192","R_2VBDLNBm17hN3lR","When someone genuinely does something on accident that hurts you and they've tried to rectify their mistake within reason."
"193","R_2h4dZGinWhC0lIR","In circumstances regarding family. Unless it's something egregious, there should be nothing you can't overcome."
"194","R_1I6Fxh88xDLUeI9","If the wrong doing is something that lasts a very short time or doesn't cause any real physical or mental pain I no grudge should be held."
"195","R_3ND0OYNR3yQDbo1","its wrong to hold a grudge when somebody is clearly trying to help you but you are not into that"
"196","R_2E4OOogtM0GrevJ","someone borrowed a pencil from me and never returned it."
"197","R_1Cexk7W55IKboBh","it would be wrong to hold a grudge if the person is unaware or unknowingly of the cause of the grudge."
"198","R_PZmjS7q9jGDdlNT","i don't know"
"199","R_210RdcB5jWwr6lQ","when someone hurts you unintentionally and they apologize and are truly sorry"
"200","R_PBRa2MX0Na7OlC9","If someone makes a mistake that hurts you"
"201","R_w6skfmg2kqq5psd","when someone has done you wrong but has sincerely apologized and made an effort to make things better"
"202","R_2sbEh8vsUUapfJZ","If the person that wronged you did it by accident."
"203","R_1dKOEny2GrZOVe3","I think it's always wrong to hold a grudge."
"204","R_1NlDXqNuF3Fg9BB","When someone makes an honest mistake"
"205","R_3j0q00Ivrz2LXVL","If someone were to do something accidentally, I don't think it would be right to hold a grudge. For instance, if you borrowed a friend's car and accidentally got into an accident, I don't think it would be fair to hold a grudge, especially if you fixed the car."
"206","R_1eXcXQ8TWo1YHAL","If someone prank you and it  was harmless."
"207","R_21cTMmE9haFsjmB","When someone has to miss an important occasion (for you) because of unforeseen circumstances."
"208","R_3MKfJnQZCYkVPoD","I believe in forgiveness. no circumstance is right to hold grudge for a long time."
"209","R_1f2R3f3OXfUuZ8B","I think it would be wrong to hold a grudge if you aren't negatively affected by that person at all."
"210","R_1gdXLwRF9z7R9wH","It is wrong to hold a grudge when the other person has demonstrated years of emotional growth, and has firmly apologized multiple times."
"211","R_3irtYYVJ8LOV6VU","If a friend plays a practical joke on you, you'll probably be upset with him, but it would be irrational to hold a grudge against him. Although it all depends on the type of prank."
"212","R_9Y3jgti5AwdNzS9","If someone hurts you on accident and shows remorse."
"213","R_DdxK2IOZ0A8OWQ1","Something that doesn't really have any big repercussions like forgetting to give back an eraser"
"214","R_u92CopAe250kDeN","I think it is wrong to hold a grudge against someone whom acted in good faith, and did not intend to cause harm or distress, but did so unintentionally."
"215","R_1jeKQHE1vTH9Ke9","It is wrong to hold a grudge when someone does a better job than you."
"216","R_21GTOX8KFfoa0XH","'- For simple transgressions, such as cutting someone off or not paying back a loan
- For petty meanness, such as basic gossiping or insults"
"217","R_1lz7dGUZyngUpkU","I think all grudges are wrong.  I believe it is harmful to one's well being to hold a grudge.  I advocate for resolving the issue"
"218","R_2tzKu6ytn4zy0vn","It is wrong to hold a grudge when someone you are close to is friends with someone you dislike."
"219","R_3eh2pBrmrLZe4d3","Most times. Ppl should be forgiving"
"220","R_QgLh0eSoi6CTaEN","Always. Grudges hurt you. Grudges do not allow you to heal. You will hurt yourself and those around you by holding on to grudges."
"221","R_3Oks4O9FEzaVDqt","When something impacted me due to an error."
"222","R_WvZInZ3ny4WPS0h","if someone tells you about something you are doing wrong and yo stay mad for absolutely no reason."
"223","R_1CJy0teJWZ74jiW","Misunderstanding with each other."
"224","R_u8GetwcH7TSX8L7","When someone is awarded a promotion that they deserved more than you."
"225","R_20ZsoREvopo77aE","If something bad happened to you, but you deserved it."
"226","R_bOOcxOBRAndJ1Tj","I think it is wrong to hold a grudge over small things that could be resolved by talking first.  If the action wasn't done with the intent of being malicious or hurtful. For example, if maybe your husband forgot to take out the trash or do the dishes."
"227","R_vwT1Tjet8Yni5mF","I think it is wrong to hold a grudge when it is an assumption or misunderstanding and no attempts were made to talk through the situation."
"228","R_125wpHJ3HFFi2MZ","someone borrowed my game without permission"
"229","R_3O3A9Gg1cdwAlVj","I think it's wrong to hold a grudge (for me, anyway) when someone has made apologies and reparations. It's not worth the emotional time and energy to hold grudges, in general, at all for me, and it certainly would not be appropriate in my opinion to do so if the person had made a good faith attempt to fix whatever had gone wrong."
"230","R_tMvYjGXJoYzUS4N","Situations where the offending party has made amends, apologized, or otherwise paid a debt I do not think it is appropriate to continue to hold a grudge."
"231","R_BVzJkmYERUNL7TH","When the purpose of grudge is solely to gain advantage over someone when they have done no act that can actually harm anyone in anyway. An example is a competition where you lose, everyone but yourself accept the result as valid and you think that you should have won even though it would not make any difference that someone else would win but prefer it to be yourself and no one else"
"232","R_pKv8LZozCrJHXPj","If the person sincerely apologies and tries to make things right. Or if a lot of time has passed."
"233","R_12u5SpvOE4tSmdG","When someone hurts someone in a way they don't understand and did not intend"
"234","R_3rSr8cQhjy5UOe7","When someone offended you unknowingly or has asked for your forgiveness."
"235","R_2SuDIphO0mNOcKr","It is wrong to hold a grudge against someone when they do not intend to harm you, they are truly sorry, they attempt to remedy the situation, and they make efforts to change. For instance, if a child spills their drink because they were walking around the living room with it instead of sitting down, they are likely being absentminded as opposed to deliberately making your life difficult. After they show remorse, help you clean the spill, and are extra careful to sit down when they drink in the future, there is no reason to hold a grudge."
"236","R_2A1oG091jF0XS1Q","When the person who does the harm makes up to the status a reasonable person would agree that they have made up for the harm"
"237","R_A6RwpXQCq9TOYGl","Over petty offenses, like a lie about going to the store."
"238","R_12zOPW6cUtbcwrP","If someone unintentionally does something to harm you. Like accidently eating the last of your favorite ice cream."
"239","R_O9ZQq1iPdVqXdjX","Over something petty or silly. Over a miscommunication."
"240","R_3PChpMfVpBu3Tfr","For a misunderstanding"
"241","R_bBFk2jNhcFINxuh","I think holding a grudge is fundamentally wrong if it's wrought with anger and frustration. It seems like agreeing to avoid certain people or things can be done without anger and frustration, but i guess that would still be a grudge."
"242","R_1feFTW4ASEfh0Xd","if your kid is being a goofball
"
"243","R_CZUWuwCiYApHYEp","If someone comes and apologizes and explains their actions and is mature about it, I think it's fair to forgive. People make mistakes and life is short, not worth holding onto resentment and hate, if someone is genuinely sorry."
"244","R_3NFdDyRhT7iaK64","When someone hurts you by accident because they don't know it upsets you."
"245","R_2UfJKNmmNfYZWry","When someone who has wronged you came and apologized for it to you."
"246","R_3EWRvluwNSv0PHS","To hold a grudge is to have and maintain a feeling of anger, bitterness, or resentment toward someone for something."
"247","R_1ghGLMFvaqavxMT","When the person unknowingly hurt you. They were not aware that their action could cause you distress and they fully acknowledge their wrong. Your friend isn't good at keeping in contact with you because they tend to have depressive episodes and just sometimes fall off the face of the planet. They're not capable of being a good friend at the time, and this happens a few times a year. You shouldn't hold a grudge over their poor friendship abilities due to their mental health issues."
"248","R_2zutCNf6dr2TsZ3","Sport teams beating the other team and players hold grudges"
"249","R_3rOEcib2DSQaLVN","I think it is wrong to hold a grudge after you're turned down by someone you like. They have the rights to decide who to go out with and if they respectfully say no, there shouldn't be a reason to hold a grudge"
"250","R_3kH7Jby49O9LG6s","When there is a simple misunderstanding that can be fixed by just being open and listening to other people's sides of situations. I have seen people hold grudges over some of the stupidest things."
"251","R_2A0G4Csby2C1Sw3","A small thing someone did has irritated you"
"252","R_1rjBv5k00JWmVS8","When someone makes a mistake that directly affects you but is immediately remorseful and apologetic, and does not make the same mistake again."
